"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR194003310","burts101","BIR","","","value","","","","1","","","","","","","","","","","","","","","","","","","19400331","0","JAC01","MEM","l","exhibition",""
"BIR194003310","burts101","BIR","","","lower","","1","","1","","","","","","","","","","","","","","","","","","","19400331","0","JAC01","MEM","l","exhibition",""
"CAG194004142","burts101","BIR","6","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400414","2","NOL01","CAG","l","exhibition","y"
"BIR194004211","burts101","BIR","7","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400421","1","BIR01","BLG","l","exhibition","y"
"BIR194004212","burts101","BIR","7","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400421","2","BIR01","BLG","w","exhibition","y"
"BLG194004281","burts101","BIR","7","1","value","4","4","1","1","0","1","0","","0","","0","0","0","","0","","","0","","","","","19400428","1","NSH02","BLG","l","exhibition","y"
"BIR194005121","burts101","BIR","2","1","value","3","2","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","","19400512","1","BIR01","KCM","l","regular","y"
"BIR194005122","burts101","BIR","2","1","value","4","3","1","2","0","0","0","","0","","0","1","","","0","","","0","","","","","19400512","2","BIR01","KCM","w","regular","y"
"BIR194005130","burts101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19400513","0","BIR01","KCM","w","regular",""
"BIR194005170","burts101","BIR","2","1","value","4","4","","2","","1","","","","","","","","","","","","","","","","","19400517","0","ANN01","SNO","l","regular",""
"BIR194005191","burts101","BIR","2","1","value","5","4","1","1","0","0","1","3","0","","0","1","","","0","","","0","","","","","19400519","1","BIR01","SNO","l","regular","y"
"BIR194005192","burts101","BIR","2","1","value","3","3","0","1","0","1","0","","0","","0","0","0","","0","","","0","","","","","19400519","2","BIR01","SNO","w","regular","y"
"BIR194005310","burts101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19400531","0","OWE01","SNO","l","regular",""
"BIR194006021","burts101","BIR","2","1","value","6","6","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","1","BIR01","MEM","l","regular","y"
"BIR194006022","burts101","BIR","2","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","2","BIR01","MEM","l","regular","y"
"MEM194006091","burts101","BIR","2","1","value","5","5","4","3","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19400609","1","MEM02","MEM","w","regular","y"
"MEM194006092","burts101","BIR","2","1","value","3","2","0","1","0","0","0","1","1","","0","0","0","","0","","","0","","","","","19400609","2","MEM02","MEM","l","regular","y"
"MEM194006100","burts101","BIR","2","1","value","5","2","1","0","0","0","0","","0","","0","3","","","0","","","0","","","","","19400610","0","MEM02","MEM","w","regular","y"
"BIR194006231","burts101","BIR","7","1","value","5","5","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400623","1","BIR01","CV9","l","regular","y"
"BIR194006232","burts101","BIR","3","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400623","2","BIR01","CV9","w","regular","y"
"CV9194006301","burts101","BIR","1","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400630","1","ATL04","CV9","w","regular","y"
"CV9194006302","burts101","BIR","1","2","value","2","2","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400630","2","ATL04","CV9","l","regular","y"
"KCM194007040","burts101","BIR","6","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400704","0","KAN05","KCM","l","regular","y"
"MEM194007141","burts101","BIR","7","1","value","3","3","0","1","0","0","0","0","0","","0","0","0","","0","1","","0","","","","","19400714","1","MEM02","MEM","w","regular","y"
"MEM194007142","burts101","BIR","7","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400714","2","MEM02","MEM","l","regular","y"
"CAG194007211","burts101","BIR","7","1","value","4","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400721","1","CHI09","CAG","l","regular","y"
"BIR194008041","burts101","BIR","7","1","value","4","3","1","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19400804","1","BIR01","KCM","w","regular","y"
"BIR194008042","burts101","BIR","7","1","value","3","3","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400804","2","BIR01","KCM","l","regular","y"
"BIR194008181","burts101","BIR","2","1","value","4","4","0","1","0","0","0","2","0","","0","0","0","","0","","","0","","","","","19400818","1","BIR01","CAG","w","exhibition","y"
"BIR194008182","burts101","BIR","2","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400818","2","BIR01","CAG","w","exhibition","y"
"KCM194009010","burts101","BIR","7","1","value","4","4","1","3","0","0","0","","0","","0","0","0","","1","","","0","","","","","19400901","0","KAN05","KCM","l","regular","y"
"SNO194009150","burts101","BIR","7","1","value","5","5","2","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400915","0","NOL01","SNO","l","exhibition","y"
"BIR194009221","burts101","BIR","6","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400922","1","BIR01","BLG","l","exhibition","y"
"BIR194009222","burts101","BIR","6","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400922","2","BIR01","BLG","w","exhibition","y"
"AST194010041","burts101","AST","7","1","value","3","3","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19401004","1","NOL01","NAS","l","allstar","y"
