"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PRG193110150","gibss101","PIR","9","1","value","3","3","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19311015","0","LOS05","PRG","l","exhibition","y"
"AGS194410150","gibss101","AGS","9","1","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19441015","0","SFO01","BIR","l","exhibition","y"
