ID,last,first
bakeb101,Baker,Bill
balll901,Ballanfant,Lee
berrc103,Berry,Charlie
boggd901,Boggess,Dusty
burkk101,Burkhart,Ken
chyln901,Chylak,Nestor
conlj102,Conlan,Jocko
craws901,Crawford,Shag
dascf901,Dascoli,Frank
delmv901,Delmore,Vic
dixoh901,Dixon,Hal
donaa901,Donatelli,Augie
flahr901,Flaherty,Red
gormt101,Gorman,Tom
honoj901,Honochick,Jim
hurle901,Hurley,Eddie
jackb901,Jackowski,Bill
lands901,Landes,Stan
lewie901,Lewis,E.
lewis901,Lewis,Simon
mckib901,McKinley,Bill
nappl901,Napp,Larry
papaj901,Paparella,Joe
ricej901,Rice,John
romme101,Rommel,Eddie
runge901,Runge,Ed
secof101,Secory,Frank
smitv101,Smith,Vinnie
soarh901,Soar,Hank
stevj901,Stevens,Johnny
sudoe901,Sudol,Ed
summa901,Summers,Andrew
summb901,Summers,Bill
tabaf901,Tabacchi,Frank
umonf901,Umont,Frank
venzt901,Venzon,Tony
younr901,Young,Roy
