"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"PTC193207082","NY5","PTC","PIT09","19320708","2","","","","","","","","","","","","","","","","","","","","","","","paigs101","stann101","","exhibition","0","6","PTC","NY5","y","both","y","y","1932"
"PTC193209190","HOM","PTC","PIT09","19320919","0","12:01am","night","","","","","","3000","","","","","","","","","","","","","","","stroj103","bellw101","","exhibition","5","1","HOM","PTC","y","both","y","y","1932"
"PTC193209280","NLS","PTC","PIT09","19320928","0","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","harrm103","craij901","","","","","parmr101","willj109","","exhibition","20","8","NLS","PTC","y","both","y","y","1932"
"PTC193210011","NLS","PTC","PIT09","19321001","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","younu901","harrm103","","","","","paigs101","parmr101","","exhibition","2","10","PTC","NLS","y","both","y","y","1932"
"PTC193210012","NLS","PTC","PIT09","19321001","2","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","harrm103","younu901","","","","","swifb101","bellw101","frenl101","exhibition","9","8","NLS","PTC","y","both","y","y","1932"
"PTC193407041","HOM","PTC","PIT09","19340704","1","","","","","","","","12000","","","","","","","","","younu901","craij901","","harrw102","","","paigs101","dulal101","","exhibition","0","4","PTC","HOM","y","both","y","y","1934"
"PTC193509180","NY6","PTC","PIT09","19350918","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","dihim101","matll101","","lcs","6","1","NY6","PTC","y","both","y","y","1935"
"PTC193509190","NY6","PTC","PIT09","19350919","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","craij901","harrm103","gholb901","gansj101","","","davir103","blakf101","","lcs","2","3","PTC","NY6","y","both","y","y","1935"
"PTC193609121","NW2","PTC","PIT09","19360912","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","harrm103","turnu901","","","","","matll101","evanb105","","championship","5","10","PTC","NW2","y","both","y","y","1936"
"PTC193609122","NW2","PTC","PIT09","19360912","2","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","turnu901","harrm103","","","","","","","","championship","4","4","","","y","both","y","y","1936"
