ID,last,first
barkl901,Barksdale,Lance
barrl901,Barrett,Lance
barrs901,Barry,Scott
barrt901,Barrett,Ted
beald901,Beal,Damien
belld901,Bellino,Dan
bellw901,Bell,Wally
blasc901,Blaser,Cory
buckc901,Bucknor,CB
campa902,Campos,Angel
carav901,Carapazza,Vic
carlm901,Carlson,Mark
cedeg901,Cederstrom,Gary
conrc901,Conroy,Chris
coope901,Cooper,Eric
cousd901,Cousins,Derryl
crawj901,Crawford,Jerry
culbf901,Culbreth,Fieldin
cuzzp901,Cuzzi,Phil
danlk901,Danley,Kerwin
darlg901,Darling,Gary
davib902,Davidson,Bob
davig901,Davis,Gerry
demud901,DeMuth,Dana
diazl901,Diaz,Laz
dimum901,DiMuro,Mike
drakr901,Drake,Rob
drecb901,Dreckman,Bruce
eddid901,Eddings,Doug
emmep901,Emmel,Paul
estam901,Estabrook,Mike
everm901,Everitt,Mike
fairc901,Fairchild,Chad
fleta901,Fletcher,Andy
fostm901,Foster,Marty
gibsg901,Gibson,Greg
gonzm901,Gonzalez,Manny
gormb901,Gorman,Brian
guccc901,Guccione,Chris
hallt901,Hallion,Tom
herna901,Hernandez,Angel
hicke901,Hickox,Ed
hirsj901,Hirschbeck,John
hohnb901,Hohn,Bill
holbs901,Holbrook,Sam
hoyej901,Hoye,James
hudsm901,Hudson,Marvin
iassd901,Iassogna,Dan
johna901,Johnson,Adrian
joycj901,Joyce,Jim
kellj901,Kellogg,Jeff
knigb901,Knight,Brian
kulpr901,Kulpa,Ron
laynj901,Layne,Jerry
marqa901,Marquez,Alfonso
mcclt901,McClelland,Tim
mealj901,Meals,Jerry
millb901,Miller,Bill
mosec901,Moser,Casey
muchm901,Muchlinski,Mike
nauep901,Nauert,Paul
nelsj901,Nelson,Jeff
onorb901,O'Nora,Brian
porta901,Porter,Alan
rackd901,Rackley,David
randt901,Randazzo,Tony
rapue901,Rapuano,Ed
reilm901,Reilly,Mike
reybd901,Reyburn,D.J.
reynj901,Reynolds,Jim
rippm901,Ripperger,Mark
rungb901,Runge,Brian
schrp901,Schrieber,Paul
scotd901,Scott,Dale
ticht901,Tichenor,Todd
tillc901,Tiller,Chris
timmt901,Timmons,Tim
tscht901,Tschida,Tim
tumpj901,Tumpane,John
vanol901,Vanover,Larry
wegnm901,Wegner,Mark
welkb901,Welke,Bill
welkt901,Welke,Tim
wendh902,Wendelstedt,Hunter
westj901,West,Joe
wintm901,Winters,Mike
wolfj901,Wolf,Jim
